# NO3, NO2, Nstar, TA, DIC
-4.733402489053906148e-03,-3.325586109845443672e-04,2.427770798815030717e-03,3.296078532429369545e-02,4.609528454511169215e-02
-5.372166020624735694e-03,7.089915266771745772e-03,-5.011953106910105316e-04,2.032294948648616373e-02,5.375318832756059706e-02
3.781257824266859302e-03,1.458087332472154940e-02,3.382816041307967758e-04,-2.578262221580868152e-02,6.542170349644416127e-02
-6.161702844922167799e-02,-4.426641513255898108e-02,-1.362886935953927514e-02,-2.656586144275429051e-01,9.842086681626316391e-02
-4.224713043752212349e-02,-2.378591600319326579e-02,-1.450007312130974224e-02,-3.091798261170047857e-02,8.623041389502883458e-02
2.426051649646460140e-03,7.383550895707899353e-03,-1.057194000793050537e-02,2.405372305019154444e-02,6.418994453180748572e-02
1.359788100297328328e-01,1.105520376313399722e-01,2.228715828193103543e-02,2.874549090267597418e-02,6.349972430237871279e-02
1.746416844864586704e-01,1.512479540978672043e-01,1.417481960453570999e-01,4.212026471100005498e-02,5.265259739430017127e-02
