# NO3, NO2, Nstar, TA, DIC
-6.705128205129246011e-02,3.618233618233527432e-02,-3.018518518519641702e-02,6.780626780626484162e-01,1.000000000000044409e+00
-1.410480620154823672e-01,8.851937984498250978e-02,-7.348992248056379628e-02,4.167441860465430636e-01,9.999999999998170352e-01
-9.164965670813840504e-02,6.952774169602413123e-02,-6.855724624241332776e-02,1.604193727963547644e-01,1.000000000000085265e+00
-2.787441927571905342e-01,-2.826749386813827425e-02,-4.158790939258635855e-01,-1.720386668589952706e-01,1.000000000000156319e+00
-2.225832450431556031e-01,6.886635386577945328e-04,-3.087902981686436177e-01,8.354775238375999891e-02,9.999999999999715783e-01
-6.868261659599786406e-02,9.067231980620246712e-03,-1.248849182313678807e-01,3.573591762568177899e-01,1.000000000000028422e+00
3.239614777779925014e-01,-7.743063011691969644e-02,2.228715828193103543e-02,4.525314540646785400e-01,1.000000000000049738e+00
3.859573845000476844e-01,-6.006774591572180966e-02,1.417481960453570999e-01,8.005849186268001461e-01,9.999999999999822364e-01
