# anmx, denit, nitox, dnrn
4.144860660380585426e-01,8.960775108679801537e-01,4.783591795834016125e+01,5.085351846475405324e+01
9.823274921501832235e-01,1.464153335359138053e+00,4.590465039327298769e+01,5.164886877921765063e+01
1.286205183968193388e+00,4.433501043785558760e-01,4.730826738022189204e+01,5.096217733143154760e+01
8.688895890823628676e+00,2.091751499091001366e-04,4.104295095820614847e+01,5.026794397582017382e+01
6.056650846636074448e+00,6.072903144992867208e-01,4.292179740372602481e+01,5.041426143513897529e+01
2.191918316357727381e+00,9.353672509788393263e-01,4.683890401445147234e+01,5.003381041821173625e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.341559396837647000e+01,4.658440603162349447e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.474596503759004662e+01,4.525403496240998891e+01
