# NO3, NO2, Nstar, TA, DIC
-6.231787956223855396e-02,3.651489479331981869e-02,-3.261295598401144774e-02,6.451018927383547208e-01,9.539047154549327168e-01
-1.356758959948576315e-01,8.142946457821076400e-02,-7.298872716987278575e-02,3.964212365600568999e-01,9.462468116722564382e-01
-9.543091453240526434e-02,5.494686837130258183e-02,-6.889552784654412454e-02,1.862019950121634460e-01,9.345782965036411039e-01
-2.171271643079688562e-01,1.599892126442070683e-02,-4.022502245663243103e-01,9.361994756854760680e-02,9.015791331838931555e-01
-1.803361146056334796e-01,2.447457954185106033e-02,-2.942902250473338754e-01,1.144657349954604775e-01,9.137695861049427437e-01
-7.110866824564432420e-02,1.683681084912347359e-03,-1.143129782234373754e-01,3.333054532066262454e-01,9.358100554682209360e-01
1.879826677482596686e-01,-1.879826677482596686e-01,0.000000000000000000e+00,4.237859631620025658e-01,9.365002756976710252e-01
2.113157000135890140e-01,-2.113157000135890140e-01,0.000000000000000000e+00,7.584646539158000911e-01,9.473474026056820652e-01
