# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
4.629343274746493264e-02,1.770444085174755280e-02,1.029688530926189472e-03,1.728412623380322323e-03,4.806919488888400371e-02
6.775913452017062744e-02,3.832910115702228837e-02,2.319708077037135104e-03,2.599256865543457529e-03,6.963149686535148597e-02
5.627636947020687314e-02,2.576050186880768020e-02,3.346678019681607105e-03,2.312286849150925559e-03,5.276070003354770693e-02
3.093939587289866455e-03,3.032485082594613135e-04,3.800933641636757010e-03,1.066080735011812330e-03,0.000000000000000000e+00
2.447939512434509080e-02,2.691631564575507063e-02,4.571933050549534423e-03,1.476968966940025822e-03,7.788827099028735636e-03
2.620863050572769248e-02,3.177979066426402793e-02,3.323189024472116872e-03,1.157049158052099675e-03,2.891140064548495051e-02
3.621799932638285809e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.528498081070441851e-04,3.747338220969853757e-03
4.606631143150889500e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.851923589467392597e-04,4.769337116925630865e-03
