# NO3, NO2, Nstar, TA, DIC
3.014293437158383285e-02,1.382576297362671756e-02,2.145820046000511752e-02,9.195228190944548796e-02,7.520583691766209816e-12
5.663429059557491957e-02,5.272354873845499362e-02,4.461548194076001700e-02,1.359952814542189636e-01,1.600877255568215779e-11
6.688631199542552364e-02,6.166169716801299383e-02,8.693042144904439272e-02,1.523037474816932024e-01,1.485939227536770466e-12
6.770768161536151741e-02,3.048955534648224719e-02,8.513863418855517617e-02,7.702837541456208914e-02,1.461147676963264353e-11
7.049860671257025813e-02,2.286422104829583662e-02,9.035606401059331771e-02,5.997726117365104193e-02,1.531125007664423216e-12
3.445242345912855747e-02,1.904903553509028347e-02,5.239741118998313824e-02,4.713603573165828925e-02,6.109484161510515398e-12
8.340396953738211591e-03,3.034640348197100400e-03,6.126952945278435134e-03,7.448662520922544675e-03,2.771035843313175214e-14
7.416921039001534571e-03,4.746117717622912700e-03,3.828458814654328666e-03,9.383026465671726046e-03,2.799966064530798866e-13
