# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
6.791528557525928766e-01,1.764058715600466329e-02,7.490893427667819548e-04,2.229855292976684611e-02,2.801589148188687872e-01
7.990761241069632703e-01,3.297600972032339178e-02,2.061631916535675447e-03,2.481496224733597405e-02,1.410712720088413696e-01
9.128294259639596619e-01,1.121291917292812322e-02,3.125231733081261076e-03,2.958562001509598693e-02,4.324680311493050988e-02
9.507837509322795144e-01,5.815659668098896905e-06,2.212319673553804489e-02,2.708723667251640085e-02,0.000000000000000000e+00
9.385419286731084831e-01,1.619151284989186340e-02,1.522700362815438031e-02,2.788820331937061012e-02,2.151351529467407549e-03
8.314240763154655545e-01,2.278980199677687474e-02,4.937629640601170870e-03,2.715734262528879395e-02,1.136911494218685176e-01
7.937524501326944648e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.174986215116354371e-02,1.744976877161401596e-01
6.238313387220201234e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.632629869715837415e-02,3.498423625808202986e-01
