# anmx, denit, nitox, dnrn
5.719885797307270314e-01,9.104752200666136330e-01,8.278171131260327886e-01,3.353778918343859883e-01
1.110051733865152102e+00,1.732293600136563860e+00,1.420260004837109236e+00,8.347253568139927360e-01
1.379820843316236667e+00,1.038366289326655645e+00,1.456865319009561066e+00,8.096537384667017445e-01
1.484849272319685776e+00,1.093575815373246454e-02,1.415937954188190240e+00,6.026062160303208293e-01
1.768308413840681048e+00,1.033487855863628013e+00,1.558196219099745816e+00,5.804000435390633816e-01
1.468866929816574851e+00,1.316307560921088804e+00,9.927057274139475807e-01,3.402429433182135310e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.131908316606580533e-02,7.131908316606577758e-02
0.000000000000000000e+00,0.000000000000000000e+00,9.005824597272046872e-02,9.005824597272066301e-02
