# NO3, NO2, Nstar, TA, DIC
7.059376561111804449e+00,9.191186807525826286e-01,8.042921664782998192e+00,4.861023381860333004e+00,4.609528454510964934e+00
3.808748552699044776e+00,8.009449771550357866e+00,6.819918891921050719e-01,4.876600602225664716e+00,5.375318832757042919e+00
4.125774127347153986e+00,2.097130292030661636e+01,4.934293932032482455e-01,1.607201285379576561e+01,6.542170349643858351e+00
2.210522409085496420e+01,1.565983009992049517e+02,3.277122980836545185e+00,1.544179685170889798e+02,9.842086681624778066e+00
1.898037313155850114e+01,3.453924110684301013e+03,4.695767064997174778e+00,3.700636070936399591e+01,8.623041389503129039e+00
3.532264450431298553e+00,8.143114581703714805e+01,8.465345661951280576e+00,6.730965551841665118e+00,6.418994453180566495e+00
4.197375902912682477e+01,1.427755882451262437e+02,1.000000000000000000e+02,6.352153125375345155e+00,6.349972430237555088e+00
4.524895532512789487e+01,2.517956214139881297e+02,1.000000000000000000e+02,5.261186381483010877e+00,5.265259739430110386e+00
