# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,3.922779563949326254e-01,3.922779563949327364e-01,1.153555667541859897e+00,1.153555667541863228e+00
9.517627590087037959e+00,9.517627590087011313e+00,7.467100817921596967e-01,7.467100817921593636e-01,2.398853778760261235e-01,2.398853778760256239e-01,1.173017498174279361e+00,1.173017498174282691e+00
nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,3.396204371754284884e-02,3.396204371754289741e-02,2.388664504670520439e-01,2.388664504670515443e-01
