# NO3, NO2, Nstar, TA, DIC
5.856917378119732831e+01,3.114864433323358384e+01,1.000000000000000000e+02,4.078885209843869042e+00,4.045309937147809620e+00
4.296110476305814885e+00,3.386085218250364903e+01,9.066388382513340005e+00,7.965318899262259222e+00,7.977952671485893710e+00
4.456023803803092420e+01,2.163055650583426086e+02,1.000000000000000000e+02,5.658079388537300858e+00,5.659934570560108291e+00
