# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,4.413372994934509563e+01,5.586627005065482621e+01,2.562980156363963857e+01,7.437019843636049643e+01
9.510690341407136827e+01,4.893096585928706332e+00,8.782835830598460802e+01,1.217164169401537244e+01,4.639961783310553045e+01,5.360038216689464008e+01,9.241714091702727174e+00,9.075828590829706854e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.452906560552016657e+01,4.547093439447967000e+01,3.129250537150229050e+01,6.870749462849781253e+01
