# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
7.231378342820887895e+01,2.768621657179107487e+01,9.187091400024917220e+01,8.129085999750936153e+00,4.428244556040542790e+01,5.571755443959444420e+01,2.549156548951411239e+01,7.450843451048585564e+01
8.067004483984840135e+01,1.932995516015156312e+01,9.245919321053933970e+01,7.540806789460899218e+00,4.850680163858169180e+01,5.149319836141830820e+01,1.401654471550837400e+01,8.598345528449193864e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.428221721124008781e+01,4.571778278875989798e+01,3.345699683239528355e+01,6.654300316760502199e+01
