# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
2.786790479037389900e+01,7.213209520962601573e+01,9.700811905679434233e+01,2.991880943205444954e+00,4.754432811223141186e+01,5.245567188776863077e+01,2.743492966956622681e+01,7.256507033043416754e+01
5.628148073885724045e+01,4.371851926114276665e+01,9.762656505260490292e+01,2.373434947394877703e+00,4.726973504550178973e+01,5.273026495449817475e+01,1.036387027754003398e+01,8.963612972245950061e+01
9.012477408442994431e+01,9.875225915569865620e+00,9.700854503171044030e+01,2.991454968289616989e+00,4.900473915756901988e+01,5.099526084243095880e+01,6.938353127615541904e-01,9.930616468723839318e+01
1.000000000000000000e+02,0.000000000000000000e+00,8.700879749264939278e+01,1.299120250735061788e+01,4.425100805018971784e+01,5.574899194981026085e+01,0.000000000000000000e+00,1.000000000000000000e+02
9.995887965816774567e+01,4.112034183229348189e-02,8.767490047272683285e+01,1.232509952727298597e+01,4.517409186147159517e+01,5.482590813852825562e+01,2.211826138565538020e-04,9.999977881738612950e+01
8.302697500776223194e+01,1.697302499223761885e+01,9.321197062296276670e+01,6.788029377037209322e+00,4.717826348593112584e+01,5.282173651406882442e+01,9.124191021252958222e+00,9.087580897874698849e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.368126923113572246e+01,4.631873076886432017e+01,1.816153937092963488e+01,8.183846062907024077e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.471996335892487195e+01,4.528003664107499304e+01,3.634145550200273078e+01,6.365854449799738290e+01
