# anmx, denit, nitox, dnrn
3.128076391705448822e-01,1.136744322824826403e+00,4.685702716913370125e+01,5.169342086887073151e+01
5.609951785526300361e-01,5.858671761048090953e-01,4.672970414933001138e+01,5.212343349601229647e+01
1.354760472665188065e+00,1.535086447024146539e-01,4.826845616266500372e+01,5.022327471996745629e+01
6.423937983495742188e+00,0.000000000000000000e+00,4.141181154443393808e+01,5.216425047207041388e+01
6.173603128995623912e+00,2.476547254477844129e-03,4.238731576126003375e+01,5.143660456248949941e+01
2.777718222160888928e+00,5.958128251502116113e-01,4.558807997918059840e+01,5.103838897350818371e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.368126923113572246e+01,4.631873076886432017e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.471996335892487195e+01,4.528003664107499304e+01
