# NO3, NO2, Nstar, TA, DIC
-1.017411393077426174e-02,-1.464875044270202986e-03,4.794524740606168067e-03,2.853691642499855963e-02,4.496604514697311039e-02
-1.634586701653312213e-03,1.345874568022914497e-02,2.513781640800426265e-03,1.636882933102967730e-02,5.630055311968018561e-02
3.688264687231601613e-03,8.982086497180324924e-03,-6.456199838384371614e-03,-5.204879466263929999e-02,7.092684383342029442e-02
-3.733636981065535654e-02,-1.489564649274796593e-02,-1.125339865996533018e-02,-3.162779833362183712e-01,8.480005612231411583e-02
-3.936279416572052714e-02,-1.345487333156715481e-02,-1.487370652612751698e-02,-9.390208232886612660e-02,8.594921585090908867e-02
-1.338832410622825542e-04,1.351659024628773520e-02,-1.432707622957343774e-02,1.922401970716264286e-02,6.674209892783555809e-02
1.361277112160701463e-01,1.079584391642230828e-01,1.478800670273908158e-02,2.862205167248904614e-02,6.451246661728726739e-02
1.766963007213318559e-01,1.528644667050045036e-01,1.461792385257707494e-01,4.192733419720628962e-02,5.306166689797042757e-02
