# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
4.151686976966266940e+01,4.151686976966266940e+01,1.523886708444958771e+00,1.523886708444955884e+00,4.544988588809966146e-01,4.544988588809971697e-01,3.684636643054070682e+00,3.684636643054063576e+00
4.743562680385407759e+01,4.743562680385407759e+01,1.992328697692950401e+00,1.992328697692923978e+00,6.524188463409417160e-01,6.524188463409409389e-01,4.747903515086458803e+00,4.747903515086449033e+00
2.643087414576827143e+01,2.643087414576844196e+01,2.022554739489473175e+00,2.022554739489465181e+00,6.401237250149179880e-01,6.401237250149182101e-01,1.648284697360673068e+00,1.648284697360664408e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.832498464389406667e+00,1.832498464389406223e+00,6.356510554617241793e-01,6.356510554617242903e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.392679216900570838e-01,6.392679216900546413e-01,1.718512566213648007e+00,1.718512566213654891e+00,5.713513714288089851e-01,5.713513714288102063e-01,1.117397995012813297e-02,1.117397995012799593e-02
2.893929673465767394e+01,2.893929673465772012e+01,1.422540206348134717e+00,1.422540206348134717e+00,3.520926286958373508e-01,3.520926286958370732e-01,2.048750033604113341e+00,2.048750033604110676e+00
nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,5.905335901539148641e-02,5.905335901539156968e-02,2.595822770817133307e-01,2.595822770817131087e-01
nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,5.066673172582883411e-02,5.066673172582892432e-02,2.801410189272564577e-01,2.801410189272556805e-01
