# NO3, NO2, Nstar, TA, DIC
9.020215556906482135e+00,2.045854717804918899e+00,1.602507264498692763e+01,4.427148129843001101e+00,4.496604514697550847e+00
1.159574537028522423e+00,1.067806973172861440e+01,7.061042962596022932e+00,5.277536353280584791e+00,5.630055311968209075e+00
8.053125706676818041e+00,4.022178801131023107e+01,8.701389628780550112e+00,9.240157589773701829e+01,7.092684383341928189e+00
1.205422828440298133e+01,1.316192014989569969e+01,3.752155969400601698e+00,1.417273162440797876e+02,8.480005612234304380e+00
1.479071376694272288e+01,1.851306147763600407e+01,5.023659181889045477e+00,1.123212266701757653e+04,8.594921585091153560e+00
1.021934772065468539e-01,1.919214805507306210e+01,9.801119857378829181e+00,6.635531307864976469e+00,6.674209892783274256e+00
3.992660859949733521e+01,1.114597371053612278e+02,1.000000000000000000e+02,6.452265576727134189e+00,6.451246661728764487e+00
4.547128833199843001e+01,2.589695907389912009e+02,1.000000000000000000e+02,5.310689666719077273e+00,5.306166689797032987e+00
