# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
6.927906222298197969e-01,2.265244642080017912e-02,5.678313816516450526e-04,2.191519119185970574e-02,2.620739087758648944e-01
8.596452881515106448e-01,1.428533191724618186e-02,1.250355793207924126e-03,2.689992076664944956e-02,9.791910337138652609e-02
9.538559889867718189e-01,4.212178915823464390e-03,3.476297116215283211e-03,3.198712480048825080e-02,6.468410180702184945e-03
9.575999719386715237e-01,0.000000000000000000e+00,1.587640533214384683e-02,2.652362272918286010e-02,0.000000000000000000e+00
9.569552415421407332e-01,6.814012441660688099e-05,1.546178033852658833e-02,2.751282758694279656e-02,2.010407974489633083e-06
8.666003134661426355e-01,1.493339407072574211e-02,6.367429512386339925e-03,2.700361995150931879e-02,8.509524299923389157e-02
7.978444043301486932e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.225623330864432065e-02,1.698993623612026493e-01
6.293374828649922481e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.653083344898442275e-02,3.441316836860234818e-01
