# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
3.390526815618678802e-02,1.799012699937074106e-02,9.392164311502151268e-04,1.270104648657445446e-03,3.565138225802910038e-02
4.370830042063628129e-02,2.281934121975068633e-02,1.660828710316470400e-03,1.678759547028307137e-03,4.507355916919047328e-02
1.987389464962679292e-02,1.338713577879512180e-02,2.629763185218954996e-03,1.088340239863236835e-03,1.538130977578715253e-02
2.065237418152813306e-03,0.000000000000000000e+00,2.396476357459277270e-03,7.004239548602920031e-04,0.000000000000000000e+00
2.148852919634662833e-03,1.057574237577220844e-03,2.291104205988403822e-03,6.562155781269910816e-04,1.015113032210061762e-04
1.604264312636330403e-02,2.625560281739741653e-02,2.591282340326350308e-03,6.405463811322334965e-04,1.895849909405022959e-02
2.376587271365667667e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.100549795627537875e-04,2.458264385160283810e-03
2.627860213915299628e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.039696492559915328e-04,2.719223478040759968e-03
