# anmx, denit, nitox, dnrn
5.179797104350831738e-01,9.109899156801307685e-01,7.070327178973607740e-01,3.970262806676805867e-01
7.445569334613487689e-01,9.443911989502290494e-01,9.047989246862953028e-01,6.787432811670189858e-01
1.021888858725005678e+00,4.939651342382321286e-01,9.614700563889637674e-01,6.233346271915756187e-01
9.575425711606846413e-01,0.000000000000000000e+00,9.054822338186415687e-01,5.268516954909489014e-01
9.060653287258987332e-01,3.860660050361142126e-02,8.524473413964168689e-01,4.507909901322512680e-01
1.122050264817581189e+00,1.054540845784772696e+00,5.999681201498697769e-01,3.478540046336392466e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.905335901539148641e-02,5.905335901539156968e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.066673172582883411e-02,5.066673172582892432e-02
