# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
5.609168936470613431e+01,4.390831063529386569e+01,9.998675739474381885e+01,1.324260525620660732e-02,4.809179824051684449e+01,5.190820175948313420e+01,2.638983525661280893e+01,7.361016474338723015e+01
9.997494273942488974e+01,2.505726057511454760e-02,9.175497292765088275e+01,8.245027072349001784e+00,4.876684219661294151e+01,5.123315780338706560e+01,1.183913083471433936e+01,8.816086916528580275e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.508131503147605201e+01,4.491868496852416115e+01,3.267862072347122648e+01,6.732137927652881615e+01
