# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
1.886668912768862255e-02,6.267416883728033940e-03,9.075207001486276445e-04,7.056513802671770781e-04,1.968299400262922549e-02
1.274758119800639168e-02,1.210313037259003362e-02,1.554193431155999512e-03,5.321640031116677255e-04,1.314819276519987000e-02
2.639079389131887641e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.820331236466166487e-05,2.730452401002137711e-03
