# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
7.514076157970305259e-01,0.000000000000000000e+00,4.938846753004341034e-02,2.748897285785800032e-02,1.717149438150692153e-01
8.813483082674899993e-01,0.000000000000000000e+00,1.847547796675002435e-02,3.817125087791688187e-02,6.200496288784208831e-02
6.925815562590211805e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.706352853267499275e-02,2.703549152083053464e-01
