# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
6.112286856436204008e-02,3.994401891590020764e-02,2.531356021349285418e-03,2.235402331159330475e-03,6.461049673416240091e-02
5.286521136335724930e-02,2.268233792153874495e-02,2.056690932354685118e-03,2.047379399764777050e-03,5.311286065649381549e-02
8.682708185866869557e-03,5.659681814534419687e-03,2.939296963306179278e-03,1.052938669363747597e-03,6.055930117161239211e-03
2.358429065255442537e-03,0.000000000000000000e+00,2.701495337344967003e-03,7.919315707915253232e-04,0.000000000000000000e+00
2.011721551052739632e-03,0.000000000000000000e+00,2.336370721643367399e-03,6.812211311340028285e-04,0.000000000000000000e+00
2.094804456248135563e-02,3.905371718682600773e-02,3.276844731684693847e-03,7.914091485111690452e-04,2.531253332837726105e-02
3.228037928072625701e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.478348856877663268e-04,3.336679551786099398e-03
3.113197325954234363e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.218078743907889487e-04,3.220589639761553893e-03
