# NO3, NO2, Nstar, TA, DIC
-1.264684840261359189e-01,4.016775626003250832e-02,-8.464290119646858401e-02,6.168743061552071083e-01,1.000000000000103029e+00
-1.229618295125723404e-01,1.206187402626421601e-01,-2.855274872021515420e-02,2.440462942353462950e-01,1.000000000000000000e+00
-2.982813206694345798e-02,2.367857681289384231e-02,-5.740841248305955657e-02,-4.613297150599748875e-02,1.000000000000341061e+00
-3.233236560216248834e-01,1.887908127511754852e-01,-2.354850335368844916e-01,-2.507329491009144817e-01,1.000000000000014211e+00
-2.984726702921923214e-01,1.365499124343345083e-01,-2.745377454143275164e-01,-6.654991243400587564e-02,1.000000000000705214e+00
-1.673793862868888094e-01,5.980766407282522845e-02,-2.073984730582874025e-01,2.582440170314779238e-01,1.000000000000138556e+00
3.562638755013199376e-01,-1.133564507943633226e-01,9.156343349516368052e-03,4.354162671331707202e-01,1.000000000000023093e+00
3.901885862266870619e-01,-5.846588732345120443e-02,1.487902481056346815e-01,7.829462157740394446e-01,9.999999999999786837e-01
