# anmx, denit, nitox, dnrn
1.030726989768247615e+00,2.501252630839263080e+00,4.546617298509510618e+01,5.100184739429730740e+01
6.072253122171464845e-01,4.335147771464152311e-01,4.710414596258917186e+01,5.185511394804716900e+01
1.201774332155399749e+00,2.749817145345994501e-02,4.858550162761096658e+01,5.018522586878024327e+01
5.051065698722983832e+00,0.000000000000000000e+00,4.170342721002015907e+01,5.324550709125655601e+01
5.776065193938441311e+00,0.000000000000000000e+00,4.188286183659408835e+01,5.234107296946739041e+01
3.746619099836085098e+00,1.165652222663465576e+00,4.418122404007505821e+01,5.090650463742538534e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.390672970638081551e+01,4.609327029361924133e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.470692685407667710e+01,4.529307314592328026e+01
