# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
3.384118516441257896e+01,6.615881483558753473e+01,9.285583915817800005e+01,7.144160841821957320e+00,4.712510801976716834e+01,5.287489198023283166e+01,2.436571553022752923e+01,7.563428446977246722e+01
6.324986497291793341e+01,3.675013502708206659e+01,9.786832697073275256e+01,2.131673029267391328e+00,4.759705988356891027e+01,5.240294011643098315e+01,7.447566567347626787e+00,9.255243343265244960e+01
9.758306088281921120e+01,2.416939117180783914e+00,9.757109412548352623e+01,2.428905874516499086e+00,4.918679675873615054e+01,5.081320324126379262e+01,1.145238371864978760e-01,9.988547616281347530e+01
1.000000000000000000e+02,0.000000000000000000e+00,8.949435444558443464e+01,1.050564555441596326e+01,4.391754191922166228e+01,5.608245808077833772e+01,0.000000000000000000e+00,1.000000000000000000e+02
1.000000000000000000e+02,0.000000000000000000e+00,8.824073574817055032e+01,1.175926425183005186e+01,4.444689769114267364e+01,5.555310230885731215e+01,0.000000000000000000e+00,1.000000000000000000e+02
7.785584902404262664e+01,2.214415097595710336e+01,9.018304517738668835e+01,9.816954822613062959e+00,4.646202954406818719e+01,5.353797045593177018e+01,6.592681735237390761e+00,9.340731826476229571e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.390672970638081551e+01,4.609327029361924133e+01,1.772548266068869438e+01,8.227451733931140154e+01
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,5.470692685407667710e+01,4.529307314592328026e+01,3.599958345293259754e+01,6.400041654706730299e+01
