# DNRN, Anammox, Denitrificatio, Nitrite Oxidation, CaCO3 Dissolution 
6.940495339154150178e-01,5.009667626959724007e-02,1.897594919289759176e-03,2.161076757507278748e-02,2.323454273206256859e-01
8.892406129957002303e-01,1.088946083907092743e-02,1.410130127040623137e-03,2.820012141009693371e-02,7.025967462808981046e-02
9.625364856607863118e-01,7.634112240288601055e-04,3.113301811730467741e-03,3.251806563370970155e-02,1.068735669742012628e-03
9.614425516377328451e-01,0.000000000000000000e+00,1.228285160002153507e-02,2.627459676224512541e-02,0.000000000000000000e+00
9.589793322917709029e-01,0.000000000000000000e+00,1.424773931411883222e-02,2.677292839410546840e-02,0.000000000000000000e+00
8.742008477461494786e-01,2.947281078884772532e-02,8.697461053458178937e-03,2.646928448505036016e-02,6.115959592649610616e-02
8.016337853320395501e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.270477746660425955e-02,1.656614372013579528e-01
6.325407193169623188e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.665183041320223767e-02,3.408074502698364983e-01
