# anmx, denit, nitox, dnrn
1.378128104345775595e+00,2.035524520638335666e+00,1.252055090507177226e+00,8.030758552723344934e-01
8.864961141578699966e-01,9.162351742043002290e-01,1.058947972407765503e+00,8.390548074526749112e-01
1.131569925116013842e+00,2.067738183809050001e-01,1.105790526974156363e+00,7.677987113610061920e-01
1.098151795997229119e+00,0.000000000000000000e+00,1.028775999611911018e+00,6.402199732021591760e-01
9.364821490415351501e-01,0.000000000000000000e+00,8.822752098766621920e-01,5.137946536680392251e-01
1.389342063112155801e+00,1.561184400527320770e+00,6.337704055444169926e-01,3.922067289005287116e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.966419703114947792e-02,7.966419703114933915e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.886825976756569073e-02,5.886825976756572543e-02
