# NO3, NO2, Nstar, TA, DIC
3.047580445837004201e-02,4.594068330464361888e-02,4.372668244311516544e-02,1.198283053731574593e-01,9.159838871627602849e-12
4.489695365818276857e-02,7.076281941092822658e-02,6.359166998060726550e-02,1.176161235321711435e-01,5.253501171855028264e-12
5.340810894160347155e-02,7.641831768064906438e-02,7.616196313411154051e-02,9.700257542522840171e-02,3.263694413595078001e-12
3.918496511718839309e-02,5.303025989801678913e-02,5.704067525136031352e-02,3.371477078169469316e-02,1.063743248892541280e-11
3.641927036105306603e-02,4.296198164666854141e-02,5.049815204921637157e-02,3.775197020699398720e-02,3.657260727447963518e-11
1.979885503799335908e-02,2.828505000727801755e-02,3.667262021414002815e-02,3.035298004785392384e-02,9.653371560521401126e-12
6.983879635949964693e-03,7.500256557986710940e-03,8.280442745692418241e-03,6.663209199875006102e-03,6.852050562781065099e-13
4.330545365621297008e-03,3.671181496262867962e-03,3.156177753546183379e-03,6.346824917930680293e-03,3.286865596417350201e-13
