# NO3, NO2, Nstar, TA, DIC
-1.148766992715863910e-01,4.368829528094408943e-02,-8.843943940190550357e-02,5.890900713187924298e-01,9.529832750112754436e-01
-1.264672929203158880e-01,1.019234919244780269e-01,-3.736329398076419783e-02,2.373142215170675196e-01,9.407794969257233797e-01
-3.998193903510705027e-02,1.085697365248083912e-02,-5.742799215306767374e-02,9.429206938112950909e-02,9.287372651091170273e-01
-3.005886518588303247e-01,1.889252479630345594e-01,-2.233268077915915306e-01,9.282651085929950752e-02,9.228851032754662453e-01
-2.678239369256247837e-01,1.382977388209702951e-01,-2.590523962093085886e-01,9.295202586713385839e-02,9.179586645835465797e-01
-1.611100764682358299e-01,5.030909618685242002e-02,-1.898695987183716960e-01,2.407823031546459658e-01,9.296665089229848578e-01
2.194630833216324461e-01,-2.194630833216324461e-01,0.000000000000000000e+00,4.068560736249197674e-01,9.345904450667932295e-01
2.123208804662459759e-01,-2.123208804662459759e-01,0.000000000000000000e+00,7.412154625949941567e-01,9.466963391735965239e-01
