# NO3, NO2, Nstar, TA, DIC
9.165749746912419837e+00,8.764589682632006884e+00,4.485359258450507980e+00,4.504035029370164089e+00,4.701672498882274454e+00
2.850854953638379818e+00,1.549945580384609300e+01,3.085708261184408485e+01,2.758522820177180535e+00,5.922050307427662474e+00
3.404104201153240439e+01,5.414853798743164504e+01,3.410592483095550159e-02,3.043919268648695606e+02,7.126273489119973270e+00
7.031655042671536293e+00,7.120855612622341291e-02,5.163056676121454913e+00,1.370220631919974892e+02,7.711489672454686861e+00
1.026852252052548131e+01,1.279990851313287603e+00,5.640517365526082294e+00,2.396726493957593220e+02,8.204133541710078248e+00
3.745568649599038125e+00,1.588185733923132226e+01,8.451785628619058244e+00,6.761710911081247666e+00,7.033349107714395920e+00
3.839872678283393270e+01,9.360440608691438058e+01,1.000000000000000000e+02,6.559284910574070260e+00,6.540955493322835324e+00
4.558506118298028298e+01,2.631534390158518022e+02,1.000000000000000000e+02,5.329964222100397997e+00,5.330366082638329672e+00
