# NO3, NO2, Nstar, TA, DIC
-1.159178475454952784e-02,-3.520539020911581107e-03,3.796538205436919555e-03,2.778423483641467850e-02,4.701672498882758511e-02
3.505463407743547588e-03,1.869524833816413323e-02,8.810545260549043634e-03,6.732072718278775403e-03,5.922050307427662030e-02
1.015380696816359229e-02,1.282160316041300319e-02,1.957967000811716707e-05,-1.404250408871269840e-01,7.126273489122403326e-02
-2.273500416279455871e-02,-1.344352118590741441e-04,-1.215822574529296096e-02,-3.435594599602139754e-01,7.711489672454796551e-02
-3.064873336656753766e-02,-1.747826386635786822e-03,-1.548534920501892787e-02,-1.595019383011397340e-01,8.204133541715863398e-02
-6.269309818652979427e-03,9.498567885972808433e-03,-1.752887433991570654e-02,1.746171387683195797e-02,7.033349107715369808e-02
1.368007921796874915e-01,1.061066325272691235e-01,9.156343349516368052e-03,2.856019350825095282e-02,6.540955493322986314e-02
1.778677057604410860e-01,1.538549931427947715e-01,1.487902481056346815e-01,4.173075317904528792e-02,5.330366082638215985e-02
