# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
nan,nan,1.000000000000000000e+02,0.000000000000000000e+00,3.855661896822856249e+01,6.144338103177123855e+01,4.435775106424135572e+01,5.564224893575861586e+01
9.992081817079160544e+01,7.918182920838912064e-02,8.894242670872806400e+01,1.105757329127191113e+01,4.766735220301468701e+01,5.233264779698534142e+01,9.062695412775253700e+00,9.093730458722494348e+01
1.000000000000000000e+02,0.000000000000000000e+00,9.999618807754436034e+01,3.811922455641192017e-03,5.422932954761751745e+01,4.577067045238253229e+01,2.046039672669541076e+01,7.953960327330428015e+01
