# anmx, denit, ox, red, nitox, dnrn, caco3 diss, other DIC
nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.177910144063286424e+00,1.177910144063285536e+00,2.675986585074877411e+00,2.675986585074880519e+00
7.739734667505219212e-01,7.739734667505223653e-01,3.152146961361018684e-01,3.152146961361012578e-01,1.034775921832924578e-01,1.034775921832924578e-01,5.422434791015119382e-01,5.422434791015104949e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.416381058911461099e-02,5.416381058911447222e-02,4.418868888544374429e-01,4.418868888544375539e-01,2.843307542992253190e+00,2.843307542992253634e+00
